type,start_time,end_time,confidence,content,discard,PhrasalVerb
pronunciation,0m 48.29s,0m 48.44s,0.999,but,False,False
pronunciation,0m 48.45s,0m 48.52s,0.996,I,False,False
punctuation,,,0.0,",",False,False
pronunciation,0m 48.53s,0m 48.64s,0.997,I,False,False
pronunciation,0m 48.65s,0m 49.32s,0.998,don't,False,False
pronunciation,0m 49.33s,0m 49.88s,0.999,like,False,False
pronunciation,0m 49.89s,0m 50.01s,0.999,it,False,False
pronunciation,0m 50.02s,0m 50.13s,0.999,so,False,False
pronunciation,0m 50.14s,0m 50.95s,0.999,much,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 50.96s,0m 50.97s,0.999,I,False,False
pronunciation,0m 50.98s,0m 51.20s,0.998,don't,False,False
pronunciation,0m 51.21s,0m 51.36s,0.999,like,False,False
pronunciation,0m 51.37s,0m 51.84s,0.997,sports,False,False
punctuation,,,0.0,.,False,False
pronunciation,0m 51.85s,0m 51.99s,0.996,I'm,False,False
pronunciation,0m 52.00s,0m 52.59s,0.999,terrible,False,False
pronunciation,0m 52.60s,0m 52.63s,0.998,at,False,False
pronunciation,0m 52.64s,0m 53.49s,0.997,sports,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 7.34s,1m 8.21s,0.997,Maybe,False,False
punctuation,,,0.0,",",False,False
pronunciation,1m 8.22s,1m 8.91s,0.997,maybe,False,False
pronunciation,1m 8.92s,1m 9.45s,0.996,that's,False,False
pronunciation,1m 9.46s,1m 10.05s,0.999,true,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 10.06s,1m 10.08s,0.999,I,False,False
pronunciation,1m 10.09s,1m 10.52s,0.999,think,False,False
pronunciation,1m 10.53s,1m 11.81s,0.998,nowadays,False,False
pronunciation,1m 12.24s,1m 12.46s,0.996,our,False,False
pronunciation,1m 12.47s,1m 13.43s,0.999,generation,False,False
pronunciation,1m 13.44s,1m 13.70s,0.999,is,False,False
pronunciation,1m 13.71s,1m 14.15s,0.999,not,False,False
pronunciation,1m 14.16s,1m 14.81s,0.999,so,False,False
pronunciation,1m 14.82s,1m 15.81s,0.998,into,False,False
pronunciation,1m 15.92s,1m 16.76s,0.999,soccer,False,False
punctuation,,,0.0,",",False,False
pronunciation,1m 19.35s,1m 20.21s,0.997,but,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 22.85s,1m 22.89s,0.34,Mhm,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 28.11s,1m 28.42s,0.999,I,False,False
pronunciation,1m 28.43s,1m 29.18s,0.999,currently,False,False
pronunciation,1m 29.19s,1m 29.69s,0.999,work,False,False
pronunciation,1m 29.70s,1m 30.02s,0.999,as,False,False
pronunciation,1m 30.03s,1m 30.13s,0.999,an,False,False
pronunciation,1m 30.14s,1m 30.48s,0.999,English,False,False
pronunciation,1m 30.49s,1m 31.09s,0.999,teacher,False,False
pronunciation,1m 31.10s,1m 31.92s,0.999,here,False,False
pronunciation,1m 31.93s,1m 32.81s,0.999,with,False,False
pronunciation,1m 32.82s,1m 33.99s,0.999,individual,False,False
punctuation,,,0.0,",",False,False
pronunciation,1m 34.00s,1m 34.25s,0.998,one,False,False
pronunciation,1m 34.26s,1m 34.28s,0.996,on,False,False
pronunciation,1m 34.29s,1m 34.50s,0.997,one,False,False
pronunciation,1m 34.51s,1m 35.46s,0.999,classes,False,False
pronunciation,1m 35.72s,1m 36.25s,0.999,for,False,False
pronunciation,1m 36.26s,1m 36.92s,0.998,beginners,False,False
pronunciation,1m 36.93s,1m 37.11s,0.998,and,False,False
pronunciation,1m 37.12s,1m 37.83s,0.953,intermediate,False,False
pronunciation,1m 37.84s,1m 38.61s,0.999,students,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 38.62s,1m 39.25s,0.999,I,False,False
pronunciation,1m 39.26s,1m 39.77s,0.998,don't,False,False
pronunciation,1m 39.78s,1m 40.31s,0.999,consider,False,False
pronunciation,1m 40.32s,1m 41.00s,0.999,myself,False,False
pronunciation,1m 41.01s,1m 41.02s,0.554,a,False,False
pronunciation,1m 41.03s,1m 42.01s,0.998,fluent,False,False
punctuation,,,0.0,",",False,False
pronunciation,1m 42.62s,1m 43.94s,0.998,but,False,False
pronunciation,1m 44.79s,1m 45.06s,0.996,I'm,False,False
pronunciation,1m 45.07s,1m 46.01s,0.999,trying,False,False
pronunciation,1m 46.02s,1m 46.65s,0.829,to,False,False
pronunciation,1m 46.66s,1m 47.51s,0.999,become,False,False
pronunciation,1m 47.52s,1m 48.52s,0.999,better,False,False
pronunciation,1m 48.54s,1m 48.82s,0.996,and,False,False
pronunciation,1m 48.83s,1m 49.53s,0.996,to,False,False
pronunciation,1m 49.54s,1m 49.93s,0.999,get,False,False
pronunciation,1m 49.94s,1m 50.01s,0.996,the,False,False
pronunciation,1m 50.02s,1m 51.06s,0.998,fluency,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 51.79s,1m 52.85s,0.792,I,False,False
punctuation,,,0.0,",",False,False
pronunciation,1m 54.75s,1m 55.09s,0.996,I'm,False,False
pronunciation,1m 55.10s,1m 56.37s,0.998,26,False,False
pronunciation,1m 56.38s,1m 56.79s,0.999,years,False,False
pronunciation,1m 56.80s,1m 57.41s,0.999,old,False,False
punctuation,,,0.0,.,False,False
pronunciation,1m 58.89s,1m 59.20s,0.997,That's,False,False
pronunciation,1m 59.21s,1m 59.40s,0.998,what,False,False
pronunciation,1m 59.41s,1m 59.42s,0.999,I,False,False
pronunciation,1m 59.43s,1m 59.71s,0.999,can,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 1.27s,2m 1.61s,0.999,What,False,False
pronunciation,2m 1.62s,2m 1.99s,0.999,about,False,False
pronunciation,2m 2.00s,2m 2.64s,0.999,you,False,False
punctuation,,,0.0,?,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 19.42s,2m 19.70s,0.546,No,False,False
punctuation,,,0.0,",",False,False
pronunciation,2m 19.71s,2m 20.43s,0.995,you're,False,False
pronunciation,2m 20.44s,2m 20.95s,0.999,not,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 21.75s,2m 22.03s,0.995,You,False,False
pronunciation,2m 22.04s,2m 22.33s,0.999,like,False,False
pronunciation,2m 22.34s,2m 22.35s,0.998,a,False,False
pronunciation,2m 22.36s,2m 22.59s,0.999,lot,False,False
pronunciation,2m 22.60s,2m 22.68s,0.997,of,False,False
pronunciation,2m 22.69s,2m 23.45s,0.999,things,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 32.34s,2m 33.04s,0.998,Got,False,False
pronunciation,2m 33.05s,2m 33.45s,0.998,it,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 33.46s,2m 33.70s,0.998,And,False,False
pronunciation,2m 33.71s,2m 34.00s,0.997,you,False,False
pronunciation,2m 34.01s,2m 34.40s,0.859,were,False,False
pronunciation,2m 34.41s,2m 35.08s,0.999,speaking,False,False
pronunciation,2m 35.09s,2m 35.56s,0.998,to,False,False
pronunciation,2m 36.22s,2m 36.88s,0.997,thousands,False,False
pronunciation,2m 36.89s,2m 37.00s,0.999,of,False,False
pronunciation,2m 37.01s,2m 37.83s,0.999,people,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 52.39s,2m 52.96s,0.307,huh,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 53.01s,2m 53.59s,0.98,Yes,False,False
punctuation,,,0.0,.,False,False
pronunciation,2m 53.60s,2m 53.66s,0.996,I,False,False
punctuation,,,0.0,",",False,False
pronunciation,2m 53.67s,2m 53.84s,0.997,I,False,False
pronunciation,2m 53.85s,2m 54.88s,0.999,can,False,False
pronunciation,2m 54.89s,2m 55.74s,0.998,relate,False,False
pronunciation,2m 56.06s,2m 56.56s,0.865,because,False,False
pronunciation,2m 56.57s,2m 56.82s,0.999,when,False,False
pronunciation,2m 56.83s,2m 56.85s,0.999,I,False,False
pronunciation,2m 56.86s,2m 57.80s,0.999,started,False,False
pronunciation,2m 57.81s,2m 58.88s,0.999,working,False,False
pronunciation,2m 58.89s,2m 59.75s,0.999,as,False,False
pronunciation,2m 59.77s,2m 59.93s,0.998,an,False,False
pronunciation,2m 59.94s,3m 0.30s,0.999,English,False,False
pronunciation,3m 0.31s,3m 1.32s,0.999,teacher,False,False
pronunciation,3m 1.72s,3m 2.04s,0.999,it,False,False
pronunciation,3m 2.05s,3m 2.52s,0.999,was,False,False
pronunciation,3m 2.53s,3m 2.54s,0.996,a,False,False
pronunciation,3m 2.55s,3m 3.75s,0.999,challenge,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 4.60s,3m 5.29s,0.999,I,False,False
pronunciation,3m 5.77s,3m 6.26s,0.997,used,False,False
pronunciation,3m 6.27s,3m 6.45s,0.999,to,False,False
pronunciation,3m 6.46s,3m 7.06s,0.999,feel,False,False
pronunciation,3m 7.07s,3m 7.86s,0.999,so,False,False
pronunciation,3m 7.87s,3m 8.96s,0.997,nervous,False,False
pronunciation,3m 8.97s,3m 9.21s,0.999,and,False,False
pronunciation,3m 9.22s,3m 9.24s,0.999,I,False,False
pronunciation,3m 9.25s,3m 9.78s,0.997,wanted,False,False
pronunciation,3m 10.25s,3m 10.54s,0.999,to,False,False
pronunciation,3m 10.55s,3m 12.08s,0.999,cry,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 12.09s,3m 12.31s,0.996,II,False,False
punctuation,,,0.0,",",False,False
pronunciation,3m 12.33s,3m 12.34s,0.996,I,False,False
pronunciation,3m 12.35s,3m 13.05s,0.97,wanna,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 15.25s,3m 15.82s,0.966,But,False,False
pronunciation,3m 15.83s,3m 16.03s,0.998,we,False,False
pronunciation,3m 16.04s,3m 16.28s,0.996,get,False,False
pronunciation,3m 16.29s,3m 16.85s,0.999,used,False,False
pronunciation,3m 16.86s,3m 17.70s,0.999,to,False,False
pronunciation,3m 17.71s,3m 18.50s,0.999,this,False,False
punctuation,,,0.0,",",False,False
pronunciation,3m 18.51s,3m 18.77s,0.997,to,False,False
pronunciation,3m 18.78s,3m 18.98s,0.998,this,False,False
pronunciation,3m 18.99s,3m 19.62s,0.999,routine,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 25.69s,3m 25.71s,0.996,I,False,False
punctuation,,,0.0,",",False,False
pronunciation,3m 25.80s,3m 26.58s,0.996,I,False,False
pronunciation,3m 26.59s,3m 26.89s,0.997,used,False,False
pronunciation,3m 26.90s,3m 27.05s,0.999,to,False,False
pronunciation,3m 27.06s,3m 27.79s,0.999,teach,False,False
pronunciation,3m 27.81s,3m 27.97s,0.999,at,False,False
pronunciation,3m 27.98s,3m 27.99s,0.996,a,False,False
pronunciation,3m 28.00s,3m 28.66s,0.999,school,False,False
pronunciation,3m 28.67s,3m 29.23s,0.999,now,False,False
pronunciation,3m 29.24s,3m 29.63s,0.996,I'm,False,False
pronunciation,3m 29.64s,3m 30.19s,0.999,working,False,False
pronunciation,3m 30.20s,3m 30.47s,0.999,from,False,False
pronunciation,3m 30.48s,3m 31.23s,0.999,home,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 31.24s,3m 31.38s,0.999,I,False,False
pronunciation,3m 31.39s,3m 31.95s,0.999,teach,False,False
pronunciation,3m 31.96s,3m 32.91s,0.999,online,False,False
pronunciation,3m 33.36s,3m 34.14s,0.999,only,False,False
pronunciation,3m 37.87s,3m 38.47s,0.997,kind,False,False
pronunciation,3m 38.48s,3m 39.21s,0.997,of,False,False
punctuation,,,0.0,",",False,False
pronunciation,3m 39.22s,3m 39.42s,0.698,no,False,False
punctuation,,,0.0,",",False,False
pronunciation,3m 39.43s,3m 40.03s,0.996,it's,False,False
pronunciation,3m 40.04s,3m 40.46s,0.998,not,False,False
pronunciation,3m 40.47s,3m 41.61s,0.999,formal,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 41.72s,3m 42.52s,0.999,But,False,False
pronunciation,3m 42.95s,3m 43.53s,0.997,yeah,False,False
punctuation,,,0.0,",",False,False
pronunciation,3m 43.64s,3m 44.04s,0.996,I'm,False,False
pronunciation,3m 44.05s,3m 44.06s,0.996,a,False,False
pronunciation,3m 44.07s,3m 44.29s,0.999,self,False,False
pronunciation,3m 44.37s,3m 45.13s,0.666,employed,False,False
pronunciation,3m 51.96s,3m 53.94s,0.999,mostly,False,False
pronunciation,3m 54.01s,3m 54.42s,0.996,by,False,False
pronunciation,3m 54.43s,3m 56.12s,0.996,recommendations,False,False
punctuation,,,0.0,.,False,False
pronunciation,3m 57.41s,3m 57.60s,0.999,I,False,False
pronunciation,3m 57.61s,3m 58.34s,0.999,started,False,False
pronunciation,3m 58.35s,3m 59.11s,0.999,with,False,False
pronunciation,3m 59.30s,3m 59.74s,0.999,one,False,False
pronunciation,3m 59.75s,4m 0.62s,0.999,student,False,False
pronunciation,4m 1.06s,4m 1.38s,0.831,and,False,False
pronunciation,4m 1.39s,4m 1.46s,0.999,I,False,False
pronunciation,4m 1.47s,4m 1.82s,0.999,was,False,False
pronunciation,4m 1.83s,4m 2.32s,0.997,still,False,False
pronunciation,4m 2.33s,4m 2.90s,0.999,working,False,False
pronunciation,4m 2.91s,4m 3.21s,0.999,for,False,False
pronunciation,4m 3.22s,4m 3.23s,0.836,a,False,False
pronunciation,4m 3.24s,4m 4.02s,0.999,school,False,False
punctuation,,,0.0,.,False,False
pronunciation,4m 4.67s,4m 5.68s,0.999,Then,False,False
pronunciation,4m 5.70s,4m 6.37s,0.996,this,False,False
pronunciation,4m 6.38s,4m 6.85s,0.999,student,False,False
pronunciation,4m 6.86s,4m 7.53s,0.998,recommended,False,False
pronunciation,4m 7.54s,4m 7.89s,0.999,me,False,False
pronunciation,4m 7.90s,4m 8.41s,0.999,to,False,False
pronunciation,4m 8.42s,4m 9.40s,0.999,another,False,False
pronunciation,4m 9.41s,4m 10.40s,0.999,person,False,False
punctuation,,,0.0,",",False,False
pronunciation,4m 10.51s,4m 10.92s,0.997,her,False,False
pronunciation,4m 10.93s,4m 11.64s,0.999,cousin,False,False
punctuation,,,0.0,",",False,False
pronunciation,4m 12.06s,4m 12.89s,0.999,then,False,False
pronunciation,4m 13.23s,4m 13.62s,0.999,this,False,False
pronunciation,4m 13.63s,4m 14.13s,0.999,person,False,False
pronunciation,4m 14.14s,4m 14.81s,0.999,recommended,False,False
pronunciation,4m 14.82s,4m 15.44s,0.999,me,False,False
pronunciation,4m 15.45s,4m 15.73s,0.999,to,False,False
pronunciation,4m 15.74s,4m 16.49s,0.999,others,False,False
pronunciation,4m 16.50s,4m 16.85s,0.999,and,False,False
pronunciation,4m 16.86s,4m 17.70s,0.999,others,False,False
pronunciation,4m 17.71s,4m 17.97s,0.996,and,False,False
pronunciation,4m 17.98s,4m 18.72s,0.974,etcetera,False,False
punctuation,,,0.0,.,False,False
pronunciation,4m 18.98s,4m 19.52s,0.999,now,False,False
pronunciation,4m 19.53s,4m 19.54s,0.999,I,False,False
pronunciation,4m 19.55s,4m 20.21s,0.998,have,False,False
punctuation,,,0.0,",",False,False
pronunciation,4m 20.22s,4m 20.24s,0.999,I,False,False
pronunciation,4m 20.25s,4m 20.53s,0.998,don't,False,False
pronunciation,4m 20.54s,4m 20.72s,0.999,have,False,False
pronunciation,4m 20.73s,4m 20.74s,0.999,a,False,False
pronunciation,4m 20.75s,4m 20.97s,0.999,lot,False,False
pronunciation,4m 20.98s,4m 21.09s,0.999,of,False,False
pronunciation,4m 21.10s,4m 21.63s,0.999,students,False,False
punctuation,,,0.0,.,False,False
pronunciation,4m 21.64s,4m 22.37s,0.999,Actually,False,False
pronunciation,4m 22.38s,4m 22.40s,0.999,I,False,False
pronunciation,4m 22.41s,4m 22.72s,0.999,have,False,False
pronunciation,4m 22.73s,4m 23.04s,0.999,only,False,False
pronunciation,4m 23.05s,4m 23.61s,0.999,seven,False,False
pronunciation,4m 23.62s,4m 24.45s,0.999,students,False,False
pronunciation,4m 25.14s,4m 26.08s,0.999,but,False,False
pronunciation,4m 26.75s,4m 27.25s,0.999,things,False,False
pronunciation,4m 27.26s,4m 27.40s,0.999,are,False,False
pronunciation,4m 27.41s,4m 27.89s,0.999,going,False,False
pronunciation,4m 27.90s,4m 28.26s,0.999,well,False,False
punctuation,,,0.0,.,False,False
pronunciation,4m 28.27s,4m 28.64s,0.997,Things,False,False
pronunciation,4m 28.65s,4m 29.09s,0.998,are,False,False
punctuation,,,0.0,",",False,False
pronunciation,4m 29.10s,4m 29.29s,0.999,you,False,False
pronunciation,4m 29.30s,4m 29.63s,0.998,know,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,",",False,False
pronunciation,4m 48.59s,4m 49.66s,0.999,exactly,False,False
punctuation,,,0.0,.,False,False
pronunciation,4m 53.23s,4m 53.97s,0.999,No,False,False
punctuation,,,0.0,",",False,False
pronunciation,4m 53.98s,4m 54.52s,0.999,only,False,False
pronunciation,4m 54.53s,4m 55.33s,0.997,Instagram,False,False
punctuation,,,0.0,.,False,False
pronunciation,4m 59.38s,4m 59.92s,0.999,No,False,False
punctuation,,,0.0,",",False,False
pronunciation,5m 1.01s,5m 1.08s,0.999,I,False,False
pronunciation,5m 1.09s,5m 1.56s,0.999,have,False,False
pronunciation,5m 1.57s,5m 1.84s,0.999,less,False,False
pronunciation,5m 1.85s,5m 2.10s,0.998,than,False,False
pronunciation,5m 2.11s,5m 3.08s,0.999,200,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,.,False,False
pronunciation,5m 20.77s,5m 20.80s,0.9605,II,False,False
pronunciation,5m 20.81s,5m 21.68s,0.996,I,False,False
pronunciation,5m 21.69s,5m 21.96s,0.996,would,False,False
pronunciation,5m 21.97s,5m 22.21s,0.998,do,False,False
pronunciation,5m 22.22s,5m 22.64s,0.999,that,False,False
punctuation,,,0.0,.,False,False
pronunciation,5m 23.21s,5m 23.67s,0.997,It,False,False
pronunciation,5m 23.68s,5m 23.73s,0.61,would,False,False
pronunciation,5m 23.74s,5m 23.86s,0.998,be,False,False
pronunciation,5m 23.87s,5m 24.86s,0.999,great,False,False
punctuation,,,0.0,.,False,False
pronunciation,5m 25.09s,5m 26.32s,0.997,I,False,False
punctuation,,,0.0,",",False,False
pronunciation,5m 26.41s,5m 26.63s,0.982,you,False,False
punctuation,,,0.0,",",False,False
pronunciation,5m 26.64s,5m 26.84s,0.997,you,False,False
pronunciation,5m 26.85s,5m 27.24s,0.996,told,False,False
pronunciation,5m 27.25s,5m 27.40s,0.998,you,False,False
pronunciation,5m 27.41s,5m 28.09s,0.998,mentioned,False,False
pronunciation,5m 28.10s,5m 28.30s,0.998,that,False,False
pronunciation,5m 28.31s,5m 28.44s,0.999,you,False,False
pronunciation,5m 28.45s,5m 28.80s,0.999,like,False,False
pronunciation,5m 28.81s,5m 29.55s,0.999,reading,False,False
punctuation,,,0.0,.,False,False
pronunciation,5m 29.56s,5m 29.81s,0.999,What,False,False
pronunciation,5m 29.82s,5m 30.09s,0.996,kinds,False,False
pronunciation,5m 30.10s,5m 30.30s,0.999,of,False,False
pronunciation,5m 30.31s,5m 30.85s,0.998,books,False,False
pronunciation,5m 30.86s,5m 31.01s,0.997,do,False,False
pronunciation,5m 31.02s,5m 31.12s,0.999,you,False,False
pronunciation,5m 31.13s,5m 31.43s,0.999,like,False,False
pronunciation,5m 31.44s,5m 31.60s,0.999,to,False,False
pronunciation,5m 31.61s,5m 32.16s,0.999,read,False,False
punctuation,,,0.0,?,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 18.01s,6m 18.02s,0.814,I,False,False
pronunciation,6m 18.03s,6m 18.62s,0.997,got,False,False
pronunciation,6m 18.63s,6m 18.95s,0.997,it,False,False
punctuation,,,0.0,.,False,False
pronunciation,6m 18.96s,6m 19.59s,0.997,I,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 28.24s,6m 29.09s,0.617,um,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 29.10s,6m 29.73s,0.999,so,False,False
pronunciation,6m 29.74s,6m 30.10s,0.898,you're,False,False
pronunciation,6m 30.11s,6m 30.54s,0.999,not,False,False
pronunciation,6m 30.55s,6m 30.97s,0.999,so,False,False
pronunciation,6m 30.98s,6m 32.19s,0.997,into,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 32.64s,6m 33.45s,0.625,um,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 34.56s,6m 35.50s,0.999,fictionary,False,False
pronunciation,6m 35.51s,6m 36.67s,0.997,books,False,False
punctuation,,,0.0,?,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 40.50s,6m 41.07s,0.998,sorry,False,False
punctuation,,,0.0,.,False,False
pronunciation,6m 41.08s,6m 41.29s,0.996,It's,False,False
pronunciation,6m 41.30s,6m 41.66s,0.999,because,False,False
pronunciation,6m 41.67s,6m 41.85s,0.996,your,False,False
pronunciation,6m 41.86s,6m 42.24s,0.998,audio,False,False
pronunciation,6m 42.25s,6m 42.74s,0.996,cut,False,False
pronunciation,6m 42.75s,6m 42.90s,0.998,at,False,False
pronunciation,6m 42.91s,6m 43.00s,0.999,the,False,False
pronunciation,6m 43.01s,6m 43.64s,0.999,beginning,False,False
pronunciation,6m 44.57s,6m 45.01s,0.999,I,False,False
pronunciation,6m 45.02s,6m 45.55s,0.997,couldn't,False,False
pronunciation,6m 45.56s,6m 46.43s,0.999,understand,False,False
punctuation,,,0.0,.,False,False
pronunciation,6m 46.44s,6m 46.59s,0.996,I'm,False,False
pronunciation,6m 46.60s,6m 47.27s,0.999,sorry,False,False
punctuation,,,0.0,.,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 48.12s,6m 48.47s,0.998,yeah,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 48.48s,6m 48.87s,0.998,that's,False,False
pronunciation,6m 48.88s,6m 49.63s,0.999,nice,False,False
punctuation,,,0.0,.,False,False
pronunciation,6m 49.66s,6m 50.72s,0.999,I,False,False
pronunciation,6m 50.73s,6m 51.51s,0.997,tried,False,False
pronunciation,6m 51.52s,6m 51.86s,0.999,some,False,False
pronunciation,6m 51.87s,6m 52.21s,0.999,self,False,False
pronunciation,6m 52.26s,6m 52.83s,0.642,improvement,False,False
pronunciation,6m 52.84s,6m 53.74s,0.997,books,False,False
pronunciation,6m 54.27s,6m 54.59s,0.999,and,False,False
pronunciation,6m 54.60s,6m 55.71s,0.999,honestly,False,False
pronunciation,6m 55.72s,6m 56.08s,0.999,some,False,False
pronunciation,6m 56.09s,6m 56.24s,0.999,of,False,False
pronunciation,6m 56.25s,6m 56.63s,0.998,them,False,False
pronunciation,6m 56.64s,6m 57.07s,0.997,were,False,False
pronunciation,6m 57.08s,6m 57.63s,0.999,great,False,False
punctuation,,,0.0,",",False,False
pronunciation,6m 57.95s,6m 58.62s,0.999,but,False,False
pronunciation,6m 58.78s,6m 59.77s,0.999,currently,False,False
pronunciation,6m 59.78s,7m 0.09s,0.996,I've,False,False
pronunciation,7m 0.10s,7m 0.30s,0.999,been,False,False
pronunciation,7m 0.31s,7m 0.87s,0.999,reading,False,False
pronunciation,7m 0.88s,7m 1.67s,0.999,one,False,False
pronunciation,7m 1.77s,7m 2.00s,0.999,that,False,False
pronunciation,7m 2.01s,7m 2.13s,0.998,is,False,False
pronunciation,7m 2.14s,7m 2.71s,0.999,called,False,False
pronunciation,7m 2.72s,7m 3.29s,0.998,Master,False,False
pronunciation,7m 3.30s,7m 3.67s,0.998,Your,False,False
pronunciation,7m 3.68s,7m 4.63s,0.998,Emotions,False,False
punctuation,,,0.0,.,False,False
pronunciation,7m 4.64s,7m 4.83s,0.999,Do,False,False
pronunciation,7m 4.84s,7m 4.99s,0.999,you,False,False
pronunciation,7m 5.00s,7m 5.15s,0.999,know,False,False
pronunciation,7m 5.16s,7m 5.45s,0.999,this,False,False
pronunciation,7m 5.46s,7m 5.90s,0.999,one,False,False
